timestamp,pair,side,units,order_id
2025-07-09T12:00:18.352738,GBP_JPY,SELL,-1000,443,199.26500,199.31700,199.16100
2025-07-09T12:00:29.201456,GBP_JPY,BUY,1000,447,199.26800,199.21500,199.37500
2025-07-09T12:00:34.503777,GBP_JPY,SELL,-1000,451,199.25400,199.30700,199.14700
2025-07-09T12:00:39.902377,GBP_JPY,BUY,1000,455,199.26250,199.20900,199.36900
2025-07-09T12:00:45.201499,GBP_JPY,SELL,-1000,459,199.26150,199.31500,199.15500
2025-07-09T12:00:50.528006,GBP_JPY,BUY,1000,463,199.26650,199.21300,199.37300
2025-07-09T12:01:00.903118,GBP_JPY,SELL,-1000,467,199.25050,199.30400,199.14300
2025-07-09T12:01:16.627545,GBP_JPY,BUY,1000,471,199.25250,199.19900,199.36000
2025-07-09T12:01:37.401790,GBP_JPY,SELL,-1000,475,199.26300,199.31900,199.15200
2025-07-09T12:01:48.175668,GBP_JPY,BUY,1000,479,199.25850,199.20300,199.36900
2025-07-09T12:01:59.241431,GBP_JPY,SELL,-1000,483,199.25350,199.30900,199.14300
2025-07-09T12:02:09.592987,GBP_JPY,BUY,1000,487,199.24700,199.19300,199.35400
2025-07-09T12:02:25.863898,GBP_JPY,SELL,-1000,491,199.24850,199.30200,199.14100
2025-07-09T12:02:36.420726,GBP_JPY,BUY,1000,495,199.24800,199.19400,199.35500
2025-07-09T12:02:52.019971,GBP_JPY,SELL,-1000,499,199.25050,199.30400,199.14300
2025-07-09T12:03:26.006075,GBP_JPY,BUY,1000,503,199.23050,199.17900,199.33400
2025-07-09T12:03:41.631303,GBP_JPY,SELL,-1000,507,199.22400,199.27600,199.12000
2025-07-09T12:03:46.989253,GBP_JPY,BUY,1000,511,199.23000,199.17800,199.33400
2025-07-09T12:03:57.259086,GBP_JPY,SELL,-1000,515,199.23450,199.28600,199.13100
2025-07-09T12:04:24.504268,GBP_JPY,BUY,1000,519,199.21400,199.16500,199.31100
2025-07-09T12:04:34.836300,GBP_JPY,SELL,-1000,523,199.21550,199.26400,199.11800
2025-07-09T12:04:40.140967,GBP_JPY,BUY,1000,527,199.21950,199.17100,199.31700
2025-07-09T12:04:45.618961,GBP_JPY,SELL,-1000,531,199.21650,199.26500,199.11900
2025-07-09T12:04:50.803815,GBP_JPY,BUY,1000,535,199.22000,199.17100,199.31800
2025-07-09T12:04:56.206208,GBP_JPY,SELL,-1000,539,199.21950,199.26800,199.12200
2025-07-09T12:05:19.112713,GBP_JPY,BUY,1000,543,199.21750,199.16900,199.31500
2025-07-09T12:05:24.318262,GBP_JPY,SELL,-1000,547,199.21700,199.26600,199.12000
2025-07-09T12:05:48.095674,GBP_JPY,BUY,1000,551,199.20800,199.15900,199.30700
2025-07-09T12:05:53.500284,GBP_JPY,SELL,-1000,555,199.20350,199.25300,199.10500
2025-07-09T12:05:58.695237,GBP_JPY,BUY,1000,559,199.20450,199.15500,199.30300
2025-07-09T12:06:04.028944,GBP_JPY,SELL,-1000,563,199.19450,199.24100,199.10100
2025-07-09T12:06:09.323733,GBP_JPY,BUY,1000,567,199.19650,199.15000,199.29000
2025-07-09T12:06:36.972304,GBP_JPY,SELL,-1000,571,199.21000,199.25800,199.11400
2025-07-09T12:06:42.282749,GBP_JPY,BUY,1000,575,199.21600,199.16800,199.31200
2025-07-09T12:07:23.775390,GBP_JPY,BUY,1000,579,199.22050,199.17400,199.31400
2025-07-09T12:07:35.084110,GBP_JPY,SELL,-1000,581,199.22800,199.27600,199.13200
2025-07-09T12:07:40.424592,GBP_JPY,BUY,1000,585,199.23350,199.18500,199.33100
2025-07-09T12:07:50.986796,GBP_JPY,SELL,-1000,589,199.22350,199.27300,199.12500
2025-07-09T12:08:06.473981,GBP_JPY,BUY,1000,593,199.21900,199.17300,199.31100
2025-07-09T12:08:11.720636,GBP_JPY,SELL,-1000,597,199.20800,199.25400,199.11600
2025-07-09T12:08:22.287074,GBP_JPY,BUY,1000,601,199.19700,199.15000,199.29200
2025-07-09T12:08:59.893363,GBP_JPY,SELL,-1000,605,199.21950,199.26900,199.12100
2025-07-09T12:09:10.664356,GBP_JPY,BUY,1000,609,199.22400,199.17600,199.32100
2025-07-09T12:09:50.861797,GBP_JPY,SELL,-1000,613,199.24400,199.29400,199.14300
2025-07-09T12:09:56.174197,GBP_JPY,BUY,1000,617,199.25800,199.20700,199.36100
2025-07-09T12:10:06.556975,GBP_JPY,SELL,-1000,621,199.26200,199.30900,199.16900
2025-07-09T12:10:11.754878,GBP_JPY,BUY,1000,625,199.27200,199.22500,199.36600
2025-07-09T12:10:17.238241,GBP_JPY,SELL,-1000,629,199.26900,199.31600,199.17400
2025-07-09T12:31:54.015992,GBP_JPY,BUY,1000,638,199.34000,199.27979,199.46043
2025-07-09T12:31:59.511875,GBP_JPY,SELL,-1000,642,199.33850,199.39871,199.21807
2025-07-09T12:32:04.761283,GBP_JPY,BUY,1000,646,199.34450,199.29211,199.44929
2025-07-09T12:32:15.408716,GBP_JPY,SELL,-1000,650,199.34500,199.39761,199.23979
